Order_Date,Customer_ID,Order_ID,Quantity,City,District,Catalog_Number,Hebrew_Description,English_Description,Added_Date,Family_Item_ID,Family_Item_Name,Sales_Price_No_VAT,Sales_Price_With_VAT,Cost_Price,Cost_Import_USD,Cost_Production_USD,Size,Color_ID,Color_Name
9/13/2022,100828,SO22000949,2,Modiin-Maccabim-Reout, מרכז,NHB5260-12-2,"סט 100% כותנה סטן 220 120 סמ SEA LIFE""",100% CTS. 220 200x220+120x200+2x50x70 SEA LIFE,5/31/2021,220S,סאטן 220,427,499,0,0,0,120/200,2,PAGEANT BLUE
9/13/2022,100828,SO22000949,1,Modiin-Maccabim-Reout, מרכז,NHB5260-16-2,"סט 100% כותנה סטן 220 160 סמ SEA LIFE""",100% CTS. 220 200x220+160x200+2x50x70 SEA LIFE,5/31/2021,220S,סאטן 220,597,699,0,0,0,160/200,2,PAGEANT BLUE
9/13/2022,100829,SO22000950,1,Ra'anana, מרכז,NHT3004-15-16,מגבת גוף  אפור כהה 100% כותנה 600 גר' 90/150,Body towel 100% cotton Aqua Fibro 600 gsm 90x150,5/31/2021,מגבות,מגבות אקווה פיברו,196,229,10,0,0,90/150,16,Bruschetta
9/13/2022,100829,SO22000950,4,Ra'anana, מרכז,NHT3006-15-24,מגבת גוף תכלת  100% כותנה 600 גר' 90/150,Body towel 100% cotton Aqua Fibro 600 gsm 90x150,5/31/2021,מגבות,מגבות אקווה פיברו,196,229,10,0,0,90/150,24,Peach Dust
9/13/2022,100829,SO22000950,4,Ra'anana, מרכז,NHT3008-15-2,מגבת גוף לבן  100% כותנה 600 גר' 90/150,Body towel 100% cotton Aqua Fibro 600 gsm 90x150,5/31/2021,מגבות,מגבות אקווה פיברו,196,229,10,0,0,90/150,2,PAGEANT BLUE
9/14/2022,100831,SO22000952,2,Petah Tikva, מרכז,NHB3010-9-8,"סדין 100% כותנה ג'רסי 90 סמ טורקיז""",,3/1/2022,ג'רסי,סדיני ג'רסי,127,149,7,0,7,90/200,8,Lolipop
9/14/2022,100831,SO22000952,1,Petah Tikva, מרכז,NHB5160-9-3,"סט 100% כותנה סטן 220 90 סמ DRIFTING AWAY""",100% CTS. 220 200x220+90x200+2x50x70 DRIFTING AW,5/31/2021,220S,סאטן 220,401,469,0,0,0,90/200,3,CURDS & WHEY
9/14/2022,100832,SO22000953,1,Shtulim,דרום,NHB1002-18-2,"סט 100% כותנה סטן 220 180 סמ BASIC WHITE""",100% CTS. 220 200x220+180x200+2x50x70 BASIC WHIT,5/31/2021,220B,סאטן 220 בסיק,555,649,29,0,0,180/200,2,PAGEANT BLUE
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NHB5160-12-23,"סט 100% כותנה סטן 220 120 סמ DRIFTING AWAY""",100% CTS. 220 200x220+120x200+2x50x70 DRIFTING A,5/31/2021,220S,סאטן 220,427,499,22,0,0,120/200,3,CURDS & WHEY
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NHD1001-15-2,ינג כחול כיסוי 100% כותנה במילוי מיקרופייבר 400 גר' 150/200,400GSM PREMIUM MICROFIBER BLANKET BLUE PIPING 15,5/31/2021,שמיכות,שמיכות,427,499,15,0,0,150/200,2,PAGEANT BLUE
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NHD1001-22-2,ינג כחול כיסוי 100% כותנה במילוי מיקרופייבר 400 גר' 220/200,400GSM PREMIUM MICROFIBER BLANKET BLUE PIPING 22,5/31/2021,שמיכות,שמיכות,597,699,20,0,0,220/200,2,PAGEANT BLUE
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NHKT1004-1-2,"מארז 2 מגבות מטבח אדום/לבן 60/40 סמ""",,3/1/2022,מטבח,מגבות מטבח,59,69,3,3,0,60/40,2,PAGEANT BLUE
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NHT3001-14-4,מגבת גוף אדום  100% כותנה 600 גר' 70/140,Body towel 100% cotton Aqua Fibro 600 gsm 90x140,5/31/2021,מגבות,מגבות אקווה פיברו,162,189,7,0,0,70/140,4,MORGANITE
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NHT3005-14-27,מגבת פסים 70X140 ירוק  600 גר',STRIPE TOWEL 70X140 GREEN 600 GSM,12/15/2021,מגבות,מגבות אקווה פיברו,170,199,8,0,0,70/140,27,Navy
9/14/2022,100833,SO22000954,1,Haïfa,חיפה,NLW-7020L2,WHITE L Floral Joy women loungewear set,"Floral Joy women loungewear set,,L",11/9/2021,7000,Loungewear,170,199,8,0,0,L,2,PAGEANT BLUE
9/14/2022,100834,SO22000955,2,Netivot,דרום,NHB1007-12-11,"סט 100% כותנה סטן 220 120 סמ BASIC SAND""",,3/1/2022,220B,סאטן 220 בסיק,341,399,20,20,0,120/200,11,GOLD
9/14/2022,100834,SO22000955,1,Netivot,דרום,NHKT1001-1-17,"מארז 2 מגבות מטבח אפור/נייבי 60/40 סמ""",,3/1/2022,מטבח,מגבות מטבח,59,69,3,3,0,60/40,17,Peach Pink
